CustomerID,recency_days,frequency,monetary,avg_order_value,CLV,customer_age_days,avg_days_between_orders,recent_frequency,recent_monetary,TotalPrice,order_per_day,FutureCLV,Predicted_CLV
12346.0,133,1,77183.6,77183.6,42931.92885885888,325,,0.0,0.0,15.3,0.003076923076923,21373.92,21630.913088340436
12347.0,54,3,1823.43,607.8100000000001,338.0829046546548,366,2.0,1.0,224.82,20.34,0.0081967213114754,448.3844262295083,460.82797844446316
12348.0,56,3,1487.24,495.7466666666666,275.7497787787788,357,9.4,0.0,0.0,22.0,0.0084033613445378,374.9344537815126,377.1908938069631
12350.0,117,1,334.4,334.4,186.00372372372377,309,0.0,0.0,0.0,20.34,0.0032362459546925,97.3980582524272,96.53186137330914
12352.0,69,5,1561.81,312.362,173.7454998498499,296,3.071428571428572,0.0,0.0,20.34,0.0168918918918918,474.8746621621621,493.25670839057875
12353.0,11,1,89.0,89.0,49.5045795795796,203,0.0,0.0,0.0,15.3,0.0049261083743842,39.45812807881774,79.83413124383529
12354.0,40,1,1079.4,1079.4,600.3959909909912,231,0.0,0.0,0.0,25.5,0.0043290043290043,420.54545454545456,337.9266617860946
12355.0,22,1,459.4,459.4,255.53262762762768,213,0.0,0.0,0.0,11.1,0.0046948356807511,194.11267605633805,176.00675404579934
12356.0,53,2,2753.08,1376.54,765.6745390390392,325,5.206896551724138,1.0,58.35,11.1,0.0061538461538461,762.3913846153846,741.6061847710624
12359.0,113,2,2386.41,1193.205,663.6978862612614,331,1.105263157894737,0.0,0.0,54.08,0.0060422960725075,648.8728096676737,638.1760855161491
12360.0,8,1,1083.58,1083.58,602.7210375375377,200,1.15625,0.0,0.0,12.6,0.005,487.61099999999993,361.05274312590814
12361.0,95,1,189.9,189.9,105.62831081081086,286,0.0,0.0,0.0,12.6,0.0034965034965034,59.75874125874126,63.29051733795404
12362.0,33,2,974.34,487.17,270.979168918919,295,1.0830188679245285,1.0,529.04,30.0,0.0067796610169491,297.2562711864407,289.7759784392587
